Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
Pep_815,0.801,0,0,0.801,Toxin
Pep_816,0.746,0,0,0.746,Toxin
Pep_817,0.678,0,0,0.678,Toxin
Pep_818,0.85,0,0,0.85,Toxin
Pep_819,0.569,0,0,0.569,Non-Toxin
Pep_82,0.611,0,0,0.611,Toxin
Pep_820,0.509,0,0,0.509,Non-Toxin
Pep_821,0.489,0,0,0.489,Non-Toxin
Pep_822,0.65,0,0,0.65,Toxin
Pep_823,0.647,0,0,0.647,Toxin
Pep_824,0.454,0,0,0.454,Non-Toxin
Pep_825,0.459,0,0,0.459,Non-Toxin
Pep_826,0.639,0,0,0.639,Toxin
Pep_827,0.599,0,0,0.599,Non-Toxin
Pep_828,0.695,0,0,0.695,Toxin
Pep_829,0.702,0,0,0.702,Toxin
Pep_83,0.629,0,0,0.629,Toxin
Pep_830,0.68,0,0,0.68,Toxin
Pep_831,0.633,0,0,0.633,Toxin
Pep_832,0.64,0,0,0.64,Toxin
Pep_833,0.473,0,0,0.473,Non-Toxin
Pep_834,0.478,0,0,0.478,Non-Toxin
Pep_835,0.636,0,0,0.636,Toxin
Pep_836,0.621,0,0,0.621,Toxin
Pep_837,0.61,0,0,0.61,Toxin
Pep_838,0.659,0,0,0.659,Toxin
Pep_839,0.645,0,0,0.645,Toxin
Pep_84,0.676,0,0,0.676,Toxin
Pep_840,0.666,0,0,0.666,Toxin
Pep_841,0.804,0,0,0.804,Toxin
Pep_842,0.627,0,0,0.627,Toxin
Pep_843,0.606,0,0,0.606,Toxin
Pep_844,0.746,0,0,0.746,Toxin
Pep_845,0.609,0,0,0.609,Toxin
Pep_846,0.677,0,0,0.677,Toxin
Pep_847,0.685,0,0,0.685,Toxin
Pep_848,0.695,0,0,0.695,Toxin
Pep_849,0.506,0,0,0.506,Non-Toxin
Pep_85,0.739,0,0,0.739,Toxin
Pep_850,0.516,0,0,0.516,Non-Toxin
Pep_851,0.667,0,0,0.667,Toxin
Pep_852,0.462,0,0,0.462,Non-Toxin
Pep_853,0.675,0,0,0.675,Toxin
Pep_854,0.868,0,0,0.868,Toxin
Pep_855,0.544,0,0,0.544,Non-Toxin
Pep_856,0.449,0,0,0.449,Non-Toxin
Pep_857,0.436,0,0,0.436,Non-Toxin
Pep_858,0.625,0,0,0.625,Toxin
Pep_859,0.649,0,0,0.649,Toxin
Pep_86,0.874,0,0,0.874,Toxin
Pep_860,0.621,0,0,0.621,Toxin
Pep_861,0.606,0,0,0.606,Toxin
Pep_862,0.563,0,0,0.563,Non-Toxin
Pep_863,0.722,0,0,0.722,Toxin
Pep_864,0.721,0,0,0.721,Toxin
Pep_865,0.688,0,0,0.688,Toxin
Pep_866,0.692,0,0,0.692,Toxin
Pep_867,0.56,0,0,0.56,Non-Toxin
Pep_868,0.607,0,0,0.607,Toxin
Pep_869,0.714,0,0,0.714,Toxin
Pep_87,0.809,0,0,0.809,Toxin
Pep_870,0.641,0,0,0.641,Toxin
Pep_871,0.911,0,0,0.911,Toxin
Pep_872,0.661,0,0,0.661,Toxin
Pep_873,0.652,0,0,0.652,Toxin
Pep_874,0.661,0,0,0.661,Toxin
Pep_875,0.562,0,0,0.562,Non-Toxin
Pep_876,0.595,0,0,0.595,Non-Toxin
Pep_877,0.57,0,0,0.57,Non-Toxin
Pep_878,0.832,0,0,0.832,Toxin
Pep_879,0.822,0,0,0.822,Toxin
Pep_88,0.805,0,0,0.805,Toxin
Pep_880,0.684,0,0,0.684,Toxin
Pep_881,0.663,0,0,0.663,Toxin
Pep_882,0.87,0,0,0.87,Toxin
Pep_883,0.839,0,0,0.839,Toxin
Pep_884,0.654,0,0,0.654,Toxin
Pep_885,0.635,0,0,0.635,Toxin
Pep_886,0.64,0,0,0.64,Toxin
Pep_887,0.534,0,0,0.534,Non-Toxin
Pep_888,0.601,0,0,0.601,Toxin
Pep_889,0.626,0,0,0.626,Toxin
Pep_89,0.702,0,0,0.702,Toxin
Pep_890,0.542,0,0,0.542,Non-Toxin
Pep_891,0.409,0,0,0.409,Non-Toxin
Pep_892,0.703,0,0,0.703,Toxin
Pep_893,0.626,0,0,0.626,Toxin
Pep_894,0.743,0,0,0.743,Toxin
Pep_895,0.635,0,0,0.635,Toxin
Pep_896,0.683,0,0,0.683,Toxin
Pep_897,0.404,0,0,0.404,Non-Toxin
Pep_898,0.642,0,0,0.642,Toxin
Pep_899,0.607,0,0,0.607,Toxin
Pep_9,0.663,0,0,0.663,Toxin
Pep_90,0.756,0,0,0.756,Toxin
Pep_900,0.447,0,0,0.447,Non-Toxin
Pep_901,0.468,0,0,0.468,Non-Toxin
Pep_902,0.679,0,0,0.679,Toxin
Pep_903,0.695,0,0,0.695,Toxin
Pep_904,0.517,0,0,0.517,Non-Toxin
Pep_905,0.523,0,0,0.523,Non-Toxin
Pep_906,0.682,0,0,0.682,Toxin
Pep_907,0.473,0,0,0.473,Non-Toxin
Pep_908,0.476,0,0,0.476,Non-Toxin
Pep_909,0.767,0,0,0.767,Toxin
Pep_91,0.707,0,0,0.707,Toxin
Pep_910,0.7,0,0,0.7,Toxin
Pep_911,0.398,0,0,0.398,Non-Toxin
Pep_912,0.507,0,0,0.507,Non-Toxin
Pep_913,0.508,0,0,0.508,Non-Toxin
Pep_914,0.513,0,0,0.513,Non-Toxin
Pep_915,0.919,0,0,0.919,Toxin
Pep_916,0.546,0,0,0.546,Non-Toxin
Pep_917,0.567,0,0,0.567,Non-Toxin
Pep_918,0.797,0,0,0.797,Toxin
Pep_919,0.751,0,0,0.751,Toxin
Pep_92,0.666,0,0,0.666,Toxin
Pep_920,0.694,0,0,0.694,Toxin
Pep_921,0.691,0,0,0.691,Toxin
Pep_922,0.614,0,0,0.614,Toxin
Pep_923,0.61,0,0,0.61,Toxin
Pep_924,0.622,0,0,0.622,Toxin
Pep_925,0.637,0,0,0.637,Toxin
Pep_926,0.695,0,0,0.695,Toxin
Pep_927,0.758,0,0,0.758,Toxin
Pep_928,0.867,0,0,0.867,Toxin
Pep_929,0.763,0,0,0.763,Toxin
Pep_93,0.835,0,0,0.835,Toxin
Pep_930,0.755,0,0,0.755,Toxin
Pep_931,0.984,0,0,0.984,Toxin
Pep_932,0.523,0,0,0.523,Non-Toxin
Pep_933,0.542,0,0,0.542,Non-Toxin
Pep_934,0.563,0,0,0.563,Non-Toxin
Pep_935,0.613,0,0,0.613,Toxin
Pep_936,0.642,0,0,0.642,Toxin
